VendName,Year of Po Date,Dept Desc_Num   ,Facility Dept,MnfrName,Unspsc Segment,And Filter,Direct Filter,Dwh Po Status,Exp_Code,Exp_Code_Desc,Facility,Has Contract,MfrCatno,MfrName,Po Date,Pono Release,PoType,REQ_SOURCE,SEARCH,Source Code,Unspsc Commodity,VendCatno,Dept Description,Dept Number,Expense Code Descrip,GHX_CONT_ID1,GHX_CONT_ID2,ItemDesc,Mmis Obj Code,MnfrCatNo,PO_QTY_CALC,Qty Invoiced,Qty Received,Po Qty,Qoe Conv Ea,Qty in EA,Qty in EA test,SPEND,SPEND_VALUE,ALIAS,ATTRIBUTE49,Buyer,Buyer Name,CATEGORY_CODE,CATEGORY_NAME,Commodity+MFR,Creation Method,Deliverto,Dept Desc_Num,Dwh Facility,Dwh Item Status,Dwh Po Line Status,Dwh Po Submit Type,Exp_Code_Filter_Check,Exp_Desc_Filter_Check,Ext Price,Facility Id,FacilityVend,Full Gl Account,GHX_CONT_ID1_1,GHX_CONT_ID1_CALC,GL_ENTITY,Has Contract (1),Has Contract Old,INVAMT,Item#,Mfr Name,MFR_VEN Name,Mmis Pkg String,Mmis Qoe,NonContract PunchOut,Null,PACKS_CONT_ID,pick Exp_Code,pick Exp_Desc,Po Create Date,Po Line Status,Po Lineno,Po Price,Po Status,Po Uom,PO_DATE,PO_PROCESSING_TYPE,PO_UPDATE_DATE,PunchOut Detail,Req Date,Reqno,Requisitioner,Service End,Service Start,Shipto,SPEND % (for Trend),Unspsc Class,Unspsc Code,Unspsc Family,Vend Name,VendCode
COOK MEDICAL INC,2024,"Interventional Radiology, 3313",S NASSAU,COOK MEDICAL,MED SURG SUPPLIES,True,True,CLOSED,,,S NASSAU,Yes,G06445,COOK MEDICAL,6/17/2024 12:00:00 AM,8341156,Non-Stock-Non-Stock_,,KIT INTRODUCER PERCUTANEOUS 20G06445G06445,LAWPOS,MED SURG SUPPLIES,G06445,Interventional Radiology,3313,Med Surg Supplies,PP-CA-711,,KIT INTRODUCER PERCUTANEOUS 20,,G06445,,1,,1,1,1,0,36.95,36.95,,,Isa Shachove,Isa Shachove,NF,NF,"MED SURG SUPPLIES 
 
COOK MEDICAL",,MM - Store Room,"Interventional Radiology, 3313",S NASSAU,,CLOSED,,FALSE,FALSE,36.95,S NASSAU,S NASSAU,,False,PP-CA-711,,Yes,Yes,,60337,COOK MEDICAL,COOK MEDICAL,,,No, ,NO,,,,CLOSED,2,36.95,CLOSED,EA,6/17/2024 12:00:00 AM,,,NF,,,Christopher Nastri,,,STORE,36,,,,COOK MEDICAL INC,6030
COOK MEDICAL INC,2024,"Endoscopy Room, 2232",S NASSAU,COOK MEDICAL,MED SURG SUPPLIES,True,True,CLOSED,,,S NASSAU,Yes,G48225,COOK MEDICAL,5/21/2024 12:00:00 AM,8338536,Non-Stock-Non-Stock_,,BALLOON QUATRO EXTRACTION 8.5G48225G48225,LAWPOS,MED SURG SUPPLIES,G48225,Endoscopy Room,2232,Med Surg Supplies,PP-OR-2506,,BALLOON QUATRO EXTRACTION 8.5,,G48225,,3,,3,1,3,0,474,474,,,Isa Shachove,Isa Shachove,NF,NF,"MED SURG SUPPLIES 
 
COOK MEDICAL",,MM - Store Room,"Endoscopy Room, 2232",S NASSAU,,CLOSED,,FALSE,FALSE,474,S NASSAU,S NASSAU,,False,PP-OR-2506,,Yes,Yes,,76090,COOK MEDICAL,COOK MEDICAL,,,No, ,NO,,,,CLOSED,1,158,CLOSED,EA,5/21/2024 12:00:00 AM,,,NF,,,Daphney Michel,,,STORE,474,,,,COOK MEDICAL INC,6030
COOK MEDICAL INC,2025,"Interventional Radiology, 3313",S NASSAU,COOK MEDICAL,MED SURG SUPPLIES,True,True,CLOSED,,,S NASSAU,Yes,G00996,COOK MEDICAL,5/6/2025 12:00:00 AM,8372298,Non-Stock-Non-Stock_,,DILATOR JCD 14.0 38 20G00996G00996,LAWPOS,MED SURG SUPPLIES,G00996,Interventional Radiology,3313,Med Surg Supplies,PP-CA-723,,DILATOR JCD 14.0 38 20,,G00996,,10,,10,1,10,0,85,85,,,Isa Shachove,Isa Shachove,NF,NF,"MED SURG SUPPLIES 
 
COOK MEDICAL",,MM - Store Room,"Interventional Radiology, 3313",S NASSAU,,CLOSED,,FALSE,FALSE,84.9,S NASSAU,S NASSAU,,False,PP-CA-723,,Yes,Yes,,23945,COOK MEDICAL,COOK MEDICAL,,,No, ,NO,,,,CLOSED,4,8.5,CLOSED,EA,5/6/2025 12:00:00 AM,,,NF,,,Stephanie Keane,,,STORE,84,,,,COOK MEDICAL INC,6030
COOK MEDICAL INC,2024,"Endoscopy Room, 2232",S NASSAU,COOK MEDICAL,THORACIC SUPPLIES,True,True,CLOSED,,,S NASSAU,Yes,G22164,COOK MEDICAL,4/24/2024 12:00:00 AM,8336107,Non-Stock-Non-Stock_,,STENT BILIARY ZIMMON 7FR 6CMG22164G22164,LAWPOS,THORACIC SUPPLIES,G22164,Endoscopy Room,2232,Thoracic Supplies,PP-OR-2506,,STENT BILIARY ZIMMON 7FR 6CM,,G22164,,4,,4,1,4,0,240,240,,,Isa Shachove,Isa Shachove,NF,NF,"THORACIC SUPPLIES 
 
COOK MEDICAL",,MM - Store Room,"Endoscopy Room, 2232",S NASSAU,,CLOSED,,FALSE,FALSE,240,S NASSAU,S NASSAU,,False,PP-OR-2506,,Yes,Yes,,49232,COOK MEDICAL,COOK MEDICAL,,,No, ,NO,,,,CLOSED,4,60,CLOSED,EA,4/24/2024 12:00:00 AM,,,NF,,,Daphney Michel,,,STORE,240,,,,COOK MEDICAL INC,6030
COOK MEDICAL INC,2024,"Endoscopy Room, 2232",S NASSAU,COOK MEDICAL,MED SURG SUPPLIES,True,True,CLOSED,,,S NASSAU,Yes,G21774,COOK MEDICAL,12/4/2024 12:00:00 AM,8357656,Non-Stock-Non-Stock_,,CATH GUIDEWIRE PUSHER 7FRG21774G21774,LAWPOS,MED SURG SUPPLIES,G21774,Endoscopy Room,2232,Med Surg Supplies,PP-OR-2506,,CATH GUIDEWIRE PUSHER 7FR,,G21774,,5,,5,1,5,0,190,190,,,Isa Shachove,Isa Shachove,NF,NF,"MED SURG SUPPLIES 
 
COOK MEDICAL",,MM - Store Room,"Endoscopy Room, 2232",S NASSAU,,CLOSED,,FALSE,FALSE,190,S NASSAU,S NASSAU,,False,PP-OR-2506,,Yes,Yes,,20868,COOK MEDICAL,COOK MEDICAL,,,No, ,NO,,,,CLOSED,2,38,CLOSED,EA,12/4/2024 12:00:00 AM,,,NF,,,Daphney Michel,,,STORE,190,,,,COOK MEDICAL INC,6030
COOK MEDICAL INC,2025,"Interventional Radiology, 3313",S NASSAU,COOK MEDICAL,OTHER SUPPLIES,True,True,CLOSED,,,S NASSAU,Yes,G10383,COOK MEDICAL,7/8/2025 12:00:00 AM,8377931,Non-Stock-Non-Stock_,,SHEATH CHECKFLO 6FRG10383G10383,LAWPOS,OTHER SUPPLIES,G10383,Interventional Radiology,3313,Other Supplies,PP-CA-711,,SHEATH CHECKFLO 6FR,,G10383,,2,,2,1,2,0,100.4,100.4,,,Isa Shachove,Isa Shachove,NF,NF,"OTHER SUPPLIES 
 
COOK MEDICAL",,MM - Store Room,"Interventional Radiology, 3313",S NASSAU,,CLOSED,,FALSE,FALSE,100.4,S NASSAU,S NASSAU,,False,PP-CA-711,,Yes,Yes,,47373,COOK MEDICAL,COOK MEDICAL,,,No, ,NO,,,,CLOSED,1,50.2,CLOSED,EA,7/8/2025 12:00:00 AM,,,NF,,,Stephanie Keane,,,STORE,100,,,,COOK MEDICAL INC,6030
COOK MEDICAL INC,2024,"Operating Room - G Wing, 2237",S NASSAU,COOK MEDICAL,OTHER SUPPLIES,True,True,CLOSED,,,S NASSAU,Yes,G36405,COOK MEDICAL,10/15/2024 12:00:00 AM,8352598,Non-Stock-Non-Stock_,,COIL EMBO MREYE 5MM X 5CMG36405G36405,LAWPOS,OTHER SUPPLIES,G36405,Operating Room - G Wing,2237,Other Supplies,PP-CA-701,,COIL EMBO MREYE 5MM X 5CM,,G36405,,2,,2,1,2,0,198,198,,,Suzanne English,Suzanne English,NF,NF,"OTHER SUPPLIES 
 
COOK MEDICAL",,Operating Room - G Wing,"Operating Room - G Wing, 2237",S NASSAU,,CLOSED,,FALSE,FALSE,198,S NASSAU,S NASSAU,,False,PP-CA-701,,Yes,Yes,,61655,COOK MEDICAL,COOK MEDICAL,,,No, ,NO,,,,CLOSED,1,99,CLOSED,EA,10/15/2024 12:00:00 AM,,,NF,,,Camille Cox,,,OR,198,,,,COOK MEDICAL INC,6030
COOK MEDICAL INC,2024,"Interventional Radiology, 3313",S NASSAU,COOK MEDICAL,MED SURG SUPPLIES,True,True,CLOSED,,,S NASSAU,Yes,G02278,COOK MEDICAL,10/17/2024 12:00:00 AM,8352861,Non-Stock-Non-Stock_,,TUBE CONNECTING 1WAY 14FRG02278G02278,LAWPOS,MED SURG SUPPLIES,G02278,Interventional Radiology,3313,Med Surg Supplies,PP-CA-723,,TUBE CONNECTING 1WAY 14FR,,G02278,,100,,100,1,100,0,1550,1550,,,Isa Shachove,Isa Shachove,NF,NF,"MED SURG SUPPLIES 
 
COOK MEDICAL",,MM - Store Room,"Interventional Radiology, 3313",S NASSAU,,CLOSED,,FALSE,FALSE,1549,S NASSAU,S NASSAU,,False,PP-CA-723,,Yes,Yes,,20242,COOK MEDICAL,COOK MEDICAL,,,No, ,NO,,,,CLOSED,5,15.5,CLOSED,EA,10/17/2024 12:00:00 AM,,,NF,,,Christopher Nastri,,,STORE,1549,,,,COOK MEDICAL INC,6030
COOK MEDICAL INC,2024,"Operating Room - G Wing, 2237",S NASSAU,COOK MEDICAL INC,MED SURG SUPPLIES,True,True,CLOSED,,,S NASSAU,Yes,G13165,COOK MEDICAL INC,8/7/2024 12:00:00 AM,8345857,Non-Stock-Non-Stock_,,KIT RHINO TRACH INTRODUCER SZ6G13165G57691,LAWPOS,MED SURG SUPPLIES,G57691,Operating Room - G Wing,2237,Med Surg Supplies,MSHS-COOK MEDICAL-001,,KIT RHINO TRACH INTRODUCER SZ6,,G13165,,1,,1,1,1,0,346,346,,,Suzanne English,Suzanne English,NF,NF,"MED SURG SUPPLIES 
 
COOK MEDICAL INC",,Operating Room - G Wing,"Operating Room - G Wing, 2237",S NASSAU,,CLOSED,,FALSE,FALSE,346,S NASSAU,S NASSAU,,False,MSHS-COOK MEDICAL-001,,Yes,Yes,,49547,COOK MEDICAL INC,COOK MEDICAL INC,,,No, ,NO,,,,CLOSED,1,346,CLOSED,EA,8/7/2024 12:00:00 AM,,,NF,,,Camille Cox,,,OR,346,,,,COOK MEDICAL INC,6030
COOK MEDICAL INC,2025,"Operating Room - G Wing, 2237",S NASSAU,COOK MEDICAL,MED SURG SUPPLIES,True,True,CLOSED,,,S NASSAU,Yes,G57691,COOK MEDICAL,8/25/2025 12:00:00 AM,8381881,Non-Stock-Non-Stock_,,KIT RHINO TRACH INTRODUCER SZ8G57691G57692,LAWPOS,MED SURG SUPPLIES,G57692,Operating Room - G Wing,2237,Med Surg Supplies,MSHS-COOK MEDICAL-001,,KIT RHINO TRACH INTRODUCER SZ8,,G57691,,1,,1,1,1,0,346,346,,,Suzanne English,Suzanne English,NF,NF,"MED SURG SUPPLIES 
 
COOK MEDICAL",,Operating Room - G Wing,"Operating Room - G Wing, 2237",S NASSAU,,CLOSED,,FALSE,FALSE,346,S NASSAU,S NASSAU,,False,MSHS-COOK MEDICAL-001,,Yes,Yes,,49548,COOK MEDICAL,COOK MEDICAL,,,No, ,NO,,,,CLOSED,2,346,CLOSED,EA,8/25/2025 12:00:00 AM,,,NF,,,Camille Cox,,,OR,346,,,,COOK MEDICAL INC,6030
