VendName,Year of Po Date,Dept Desc_Num   ,Facility Dept,MnfrName,Unspsc Segment,And Filter,Direct Filter,Dwh Po Status,Exp_Code,Exp_Code_Desc,Facility,Has Contract,MfrCatno,MfrName,Po Date,Pono Release,PoType,REQ_SOURCE,SEARCH,Source Code,Unspsc Commodity,VendCatno,Dept Description,Dept Number,Expense Code Descrip,GHX_CONT_ID1,GHX_CONT_ID2,ItemDesc,Mmis Obj Code,MnfrCatNo,PO_QTY_CALC,Qty Invoiced,Qty Received,Po Qty,Qoe Conv Ea,Qty in EA,Qty in EA test,SPEND,SPEND_VALUE,ALIAS,ATTRIBUTE49,Buyer,Buyer Name,Commodity+MFR,Creation Method,Deliverto,Dept Desc_Num,Dwh Facility,Dwh Item Status,Dwh Po Line Status,Dwh Po Submit Type,Exp_Code_Filter_Check,Exp_Desc_Filter_Check,Ext Price,Facility Id,FacilityVend,Full Gl Account,GHX_CONT_ID1_1,GHX_CONT_ID1_CALC,Has Contract (1),Has Contract Old,INVAMT,Item#,Mfr Name,MFR_VEN Name,Mmis Pkg String,Mmis Qoe,NonContract PunchOut,Null,PACKS_CONT_ID,pick Exp_Code,pick Exp_Desc,Po Create Date,Po Line Status,Po Lineno,Po Price,Po Status,Po Uom,PO_DATE,PunchOut Detail,Req Date,Reqno,Requisitioner,Service End,Service Start,Shipto,SPEND % (for Trend),Unspsc Class,Unspsc Code,Unspsc Family,Vend Name,VendCode
COOK MEDICAL INC,2024,"Electrophysiology Lab, 3314",S NASSAU,COOK MEDICAL,MED SURG SUPPLIES,True,True,CLOSED,,,S NASSAU,Yes,G36333,COOK MEDICAL,2/27/2024 12:00:00 AM,8329047,Non-Stock-Non-Stock_,,INTRODUCER MICROPUNCTURE SETG36333G36333,LAWPOS,MED SURG SUPPLIES,G36333,Electrophysiology Lab,3314,Med Surg Supplies,PP-CA-711,,INTRODUCER MICROPUNCTURE SET,,G36333,,5,,5,1,5,0,115,115,,,Isa Shachove,Isa Shachove,"MED SURG SUPPLIES 
 
COOK MEDICAL",,MM - Store Room,"Electrophysiology Lab, 3314",S NASSAU,,CLOSED,,FALSE,FALSE,115,,S NASSAU,,False,PP-CA-711,Yes,Yes,,20274,COOK MEDICAL,COOK MEDICAL,,,No, ,NO,,,,CLOSED,1,23,CLOSED,EA,2/27/2024 12:00:00 AM,NF,,,Cassandra Mulvey,,,STORE,115,,,,COOK MEDICAL INC,6030
COOK MEDICAL INC,2023,"Operating Room - G Wing, 2237",S NASSAU,COOK MEDICAL INC,MED SURG SUPPLIES,True,True,CLOSED,,,S NASSAU,Yes,G13165,COOK MEDICAL INC,8/4/2023 12:00:00 AM,8290901,Non-Stock-Non-Stock_,,KIT RHINO TRACH INTRODUCER SZ6G13165G57691,LAWPOS,MED SURG SUPPLIES,G57691,Operating Room - G Wing,2237,Med Surg Supplies,MSHS-NS-009,,KIT RHINO TRACH INTRODUCER SZ6,,G13165,,1,,1,1,1,0,346,346,,,Suzanne English,Suzanne English,"MED SURG SUPPLIES 
 
COOK MEDICAL INC",,Operating Room - G Wing,"Operating Room - G Wing, 2237",S NASSAU,,CLOSED,,FALSE,FALSE,346,,S NASSAU,,False,MSHS-NS-009,Yes,Yes,,49547,COOK MEDICAL INC,COOK MEDICAL INC,,,No, ,NO,,,,CLOSED,1,346,CLOSED,EA,8/4/2023 12:00:00 AM,NF,,,Camille Cox,,,OR,346,,,,COOK MEDICAL INC,6030
COOK MEDICAL INC,2024,"Endoscopy Room, 2232",S NASSAU,COOK MEDICAL,MED SURG SUPPLIES,True,True,CLOSED,,,S NASSAU,Yes,G55736,COOK MEDICAL,2/16/2024 12:00:00 AM,8327251,Non-Stock-Non-Stock_,,NEEDLE BIOPSY ECHOTIP 22GAG55736G55736,LAWPOS,MED SURG SUPPLIES,G55736,Endoscopy Room,2232,Med Surg Supplies,PP-OR-2506,,NEEDLE BIOPSY ECHOTIP 22GA,,G55736,,6,,6,1,6,0,2070,2070,,,Isa Shachove,Isa Shachove,"MED SURG SUPPLIES 
 
COOK MEDICAL",,MM - Store Room,"Endoscopy Room, 2232",S NASSAU,,CLOSED,,FALSE,FALSE,2070,,S NASSAU,,False,PP-OR-2506,Yes,Yes,,65608,COOK MEDICAL,COOK MEDICAL,,,No, ,NO,,,,CLOSED,1,345,CLOSED,EA,2/16/2024 12:00:00 AM,NF,,,Christine Alejandro,,,STORE,2070,,,,COOK MEDICAL INC,6030
COOK MEDICAL INC,2024,"Operating Room - G Wing, 2237",S NASSAU,COOK MEDICAL,MED SURG SUPPLIES,True,True,CLOSED,,,S NASSAU,Yes,G32193,COOK MEDICAL,4/1/2024 12:00:00 AM,8333546,Non-Stock-Non-Stock_,,KIT CRICOTHYROMTOMY UNIV 5.0G32193G47665,LAWPOS,MED SURG SUPPLIES,G47665,Operating Room - G Wing,2237,Med Surg Supplies,MSHS-NS-009,,KIT CRICOTHYROMTOMY UNIV 5.0,,G32193,,1,,1,1,1,0,536,536,,,Suzanne English,Suzanne English,"MED SURG SUPPLIES 
 
COOK MEDICAL",,Operating Room - G Wing,"Operating Room - G Wing, 2237",S NASSAU,,CLOSED,,FALSE,FALSE,536,,S NASSAU,,False,MSHS-NS-009,Yes,Yes,,67590,COOK MEDICAL,COOK MEDICAL,,,No, ,NO,,,,CLOSED,1,536,CLOSED,EA,4/1/2024 12:00:00 AM,NF,,,Camille Cox,,,OR,536,,,,COOK MEDICAL INC,6030
COOK MEDICAL INC,2024,"Endoscopy Room, 2232",S NASSAU,COOK MEDICAL,MED SURG SUPPLIES,True,True,CLOSED,,,S NASSAU,Yes,G50660,COOK MEDICAL,8/1/2024 12:00:00 AM,8345317,Non-Stock-Non-Stock_,,GUIDEWIRE TRACER METRO DIRECTG50660G50660,LAWPOS,MED SURG SUPPLIES,G50660,Endoscopy Room,2232,Med Surg Supplies,PP-OR-2506,,GUIDEWIRE TRACER METRO DIRECT,,G50660,,1,,1,1,1,0,245,245,,,Isa Shachove,Isa Shachove,"MED SURG SUPPLIES 
 
COOK MEDICAL",,MM - Store Room,"Endoscopy Room, 2232",S NASSAU,,CLOSED,,FALSE,FALSE,245,,S NASSAU,,False,PP-OR-2506,Yes,Yes,,75256,COOK MEDICAL,COOK MEDICAL,,,No, ,NO,,,,CLOSED,1,245,CLOSED,EA,8/1/2024 12:00:00 AM,NF,,,Daphney Michel,,,STORE,245,,,,COOK MEDICAL INC,6030
COOK MEDICAL INC,2025,"Interventional Radiology, 3313",S NASSAU,COOK MEDICAL,MED SURG SUPPLIES,True,True,CLOSED,,,S NASSAU,Yes,G56232,COOK MEDICAL,6/27/2025 12:00:00 AM,8377037,Non-Stock-Non-Stock_,,SHEATH GUIDING 7FR DIA 55MML HG56232G56232,LAWPOS,MED SURG SUPPLIES,G56232,Interventional Radiology,3313,Med Surg Supplies,PP-CA-711,,SHEATH GUIDING 7FR DIA 55MML H,,G56232,,3,,3,1,3,0,188.4,188.4,,,Isa Shachove,Isa Shachove,"MED SURG SUPPLIES 
 
COOK MEDICAL",,MM - Store Room,"Interventional Radiology, 3313",S NASSAU,,CLOSED,,FALSE,FALSE,188.4,,S NASSAU,,False,PP-CA-711,Yes,Yes,,76200,COOK MEDICAL,COOK MEDICAL,,,No, ,NO,,,,CLOSED,1,62.8,CLOSED,EA,6/27/2025 12:00:00 AM,NF,,,Stephanie Keane,,,STORE,188,,,,COOK MEDICAL INC,6030
COOK MEDICAL INC,2023,"Endoscopy Room, 2232",S NASSAU,COOK MEDICAL,MED SURG SUPPLIES,True,True,CLOSED,,,S NASSAU,Yes,G55738,COOK MEDICAL,7/21/2023 12:00:00 AM,8288435,Non-Stock-Non-Stock_,,NEEDLE BIOPSY ECHOTIP 25GAG55738G55738,LAWPOS,MED SURG SUPPLIES,G55738,Endoscopy Room,2232,Med Surg Supplies,PP-OR-2506,,NEEDLE BIOPSY ECHOTIP 25GA,,G55738,,7,,7,1,7,0,2415,2415,,,Isa Shachove,Isa Shachove,"MED SURG SUPPLIES 
 
COOK MEDICAL",,MM - Store Room,"Endoscopy Room, 2232",S NASSAU,,CLOSED,,FALSE,FALSE,2415,,S NASSAU,,False,PP-OR-2506,Yes,Yes,,65779,COOK MEDICAL,COOK MEDICAL,,,No, ,NO,,,,CLOSED,1,345,CLOSED,EA,7/21/2023 12:00:00 AM,NF,,,Jennifer Fuentes,,,STORE,2415,,,,COOK MEDICAL INC,6030
COOK MEDICAL INC,2025,"Interventional Radiology, 3313",S NASSAU,COOK MEDICAL,MED SURG SUPPLIES,True,True,CLOSED,,,S NASSAU,Yes,G15290,COOK MEDICAL,6/6/2025 12:00:00 AM,8375083,Non-Stock-Non-Stock_,,NEEDLE BIOPSY CHIBA  18G/20CMG15290G03020,LAWPOS,MED SURG SUPPLIES,G03020,Interventional Radiology,3313,Med Surg Supplies,ACU-OR-071,,NEEDLE BIOPSY CHIBA  18G/20CM,,G15290,,1,,1,1,1,0,14.5,14.5,,,Isa Shachove,Isa Shachove,"MED SURG SUPPLIES 
 
COOK MEDICAL",,MM - Store Room,"Interventional Radiology, 3313",S NASSAU,,CLOSED,,FALSE,FALSE,14.5,,S NASSAU,,False,ACU-OR-071,Yes,Yes,,70642,COOK MEDICAL,COOK MEDICAL,,,No, ,NO,,,,CLOSED,2,14.5,CLOSED,EA,6/6/2025 12:00:00 AM,NF,,,Stephanie Keane,,,STORE,14,,,,COOK MEDICAL INC,6030
COOK MEDICAL INC,2024,"Interventional Radiology, 3313",S NASSAU,COOK MEDICAL,MED SURG SUPPLIES,True,True,CLOSED,,,S NASSAU,Yes,G00980,COOK MEDICAL,5/31/2024 12:00:00 AM,8339589,Non-Stock-Non-Stock_,,DILATOR 8 FRG00980G00980,LAWPOS,MED SURG SUPPLIES,G00980,Interventional Radiology,3313,Med Surg Supplies,PP-CA-536,,DILATOR 8 FR,,G00980,,100,,100,1,100,0,849,849,,,Isa Shachove,Isa Shachove,"MED SURG SUPPLIES 
 
COOK MEDICAL",,MM - Store Room,"Interventional Radiology, 3313",S NASSAU,,CLOSED,,FALSE,FALSE,849,,S NASSAU,,False,PP-CA-536,Yes,Yes,,70718,COOK MEDICAL,COOK MEDICAL,,,No, ,NO,,,,CLOSED,2,8.49,CLOSED,EA,5/31/2024 12:00:00 AM,NF,,,Christopher Nastri,,,STORE,849,,,,COOK MEDICAL INC,6030
COOK MEDICAL INC,2024,"Endoscopy Room, 2232",S NASSAU,COOK MEDICAL,OTHER IMPLANTS,True,True,CLOSED,,,S NASSAU,Yes,G21443,COOK MEDICAL,3/9/2024 12:00:00 AM,8331039,Non-Stock-Non-Stock_,,CATH GUIDEWIRE PUSHER 10FRG21443G21443,LAWPOS,OTHER IMPLANTS,G21443,Endoscopy Room,2232,Other Implants,PP-OR-2506,,CATH GUIDEWIRE PUSHER 10FR,,G21443,,2,,2,1,2,0,76,76,,,Isa Shachove,Isa Shachove,"OTHER IMPLANTS 
 
COOK MEDICAL",,MM - Store Room,"Endoscopy Room, 2232",S NASSAU,,CLOSED,,FALSE,FALSE,76,,S NASSAU,,False,PP-OR-2506,Yes,Yes,,20827,COOK MEDICAL,COOK MEDICAL,,,No, ,NO,,,,CLOSED,1,38,CLOSED,EA,3/9/2024 12:00:00 AM,NF,,,Daphney Michel,,,STORE,76,,,,COOK MEDICAL INC,6030
